country,country code,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2256.46913015707,2382.85317453438,2342.88951307037,2186.69525589969,2148.8389608514,1928.63843588462,2114.19214612134,2179.08517363432,2248.69534579875,2171.93034726684,1882.38046859362,2048.81100973976,2085.76299251853,2343.82867320576,2885.63317896978,3728.20051373912,4665.84164694069,5638.32088859431,7227.06117434884,8921.34811341296,7039.93483801385,8234.34325514288,9920.94203992051,10254.6741119174,10770.3982443285,10263.5251468072,7942.03138674108,7573.19766257718,..
European Union,EUU,1572.87361314935,1716.49718907344,1934.6468084527,2176.90704165353,2589.85094746876,3268.56540603746,3653.01841422241,4236.35862538586,4367.01651187964,4925.03835326606,6011.91944790863,7313.8884768529,8313.96473835461,7329.49935151433,7034.62775955421,6802.94334406834,6517.50620351554,6719.65051262012,9189.07682339715,11337.6195588427,12606.4517296914,12828.7390499211,15854.4968362435,16420.7419667237,17838.8752809839,16209.9784692681,17171.6772784078,19845.2735447442,20257.0195817572,19085.2344182611,19709.2455121578,19643.0928867989,18229.5514131609,18400.5076686108,20006.6956784377,24270.1326635065,27917.0387617095,29079.1260426471,30902.7013405565,35568.5381558206,38097.7975343967,33936.558194112,33658.097871293,36389.085226604,34194.3531562116,35536.8620805648,36579.6991817004,32047.7492417093,32058.7735845667,..
Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,635.220744077277,569.620703749487,540.776856815178,598.797167631495,673.329025210571,796.897780268888,911.078808016602,1093.30623965088,1377.52014129382,1251.87249995718,1453.71640015224,1546.09501683692,1627.91388771106,1699.63737851446,1746.52115028307,1546.67404187634,1471.0146505076,..
Heavily indebted poor countries (HIPC),HPC,139.95276313206,152.201034037968,155.407034733568,163.196014739387,172.096142186863,202.01957089639,242.270824236969,266.978383945847,276.437895571404,318.386041126219,352.271543390264,384.217280733629,392.771298963642,382.572744271117,372.031290260181,341.614317715142,332.200337721334,339.381557076613,378.693168764671,405.811529355065,393.22924238257,367.978414444066,364.260232005394,363.65778084717,322.314723741643,318.182198609688,274.872294960163,305.156150725935,310.640784893668,317.066976987148,317.814627580855,309.657875903134,326.488925877097,301.722274727522,318.705246633317,352.425404104607,393.430597355841,442.072763319719,513.469482288487,594.194081946649,696.312478098126,688.289582211053,735.02234902748,799.441561305742,837.866990492555,882.529129444467,912.507735474082,877.10276268755,861.510155524695,..
High income,HIC,2376.03246113356,2579.7807468796,2809.87540257303,3086.20715813131,3543.75542370993,4247.61314730378,4743.10802224084,5238.38662445152,5660.42252134597,6357.42595175868,7551.45339907883,8658.38792796216,9593.51833490567,9663.12760490899,9497.06728659611,9735.16466813605,10086.5122300064,10532.9166095994,12694.7986943136,14601.2316097232,16331.7921305509,16982.0983744916,18946.600206233,19872.3767810722,21245.6133675814,21273.4839681971,22637.0500864963,24920.7219006635,24969.7107632846,24396.6359816996,24321.1137853696,25391.178382554,25755.8063316652,25340.8213520349,26235.6400231665,29221.5161984546,32304.0887083407,33920.8841273896,35531.3358611529,38531.3119326532,40584.1007922624,37756.6082025108,39310.3972167624,42219.0666635244,41991.6272464838,42192.35097398,42780.3424671173,40078.0541373014,40677.6835231725,..
IBRD only,IBD,193.157609017765,210.984489200819,223.5811252287,238.741790702422,262.728779625707,330.739977044065,408.667209002113,432.98061821679,463.266356896806,515.860456868769,546.375434308827,642.405646695414,739.43678980343,787.739084885735,766.864952305956,742.781701805549,742.807040856308,769.144494402241,790.384495342251,795.030213000864,848.917783296037,892.89837624995,992.911206582409,1053.14580748615,1033.02370067254,1092.19518470055,1179.40491263925,1305.94676417141,1405.98222121548,1468.3772755497,1408.39915883119,1351.00034395185,1451.116723272,1453.7621986123,1460.10486082288,1630.90548068726,1919.53884554669,2269.87544258843,2663.01410568941,3280.22627698576,3900.9670499943,3747.01458277416,4506.61124790335,5278.63544665305,5534.60798226618,5804.92109573438,5921.51824211758,5541.77512188984,5498.82467442429,..
IDA & IBRD total,IBT,183.127032764774,200.183976321763,213.984589243774,225.882795779728,246.110374636006,305.663773844846,380.43626680341,407.554205341079,433.066388971077,479.364463575179,509.568285376802,596.085058793171,685.455282559209,724.31951772864,702.075536083207,672.033991735482,667.768447238372,689.126887435818,705.943735253257,712.643330737707,755.882133285384,788.710819869633,870.861243484561,917.843008328717,896.468664235815,938.460394130569,1002.35484972185,1109.42056447116,1192.32090018694,1240.40433966812,1188.67881198247,1141.41544860693,1224.0670679921,1219.79220203202,1226.17350271161,1366.00076241882,1600.64364497788,1883.29422457527,2205.04187940877,2696.93889112126,3197.80768668239,3065.29544665231,3688.14424824278,4295.09534425102,4494.66547026602,4707.45446427967,4803.12494484162,4489.78368215704,4435.50834426975,..
IDA blend,IDB,138.958513298783,154.472849837162,207.098088646762,186.488233094599,202.969747544647,210.034348264685,296.735635175164,331.747750811979,391.801667205887,398.615168030549,418.945942458726,500.074323176998,624.006368326348,623.541045487241,569.797064901261,460.223350474127,419.126498930712,406.58346459869,383.620682052539,411.814308888643,428.625412213545,426.021613596585,440.139438770669,440.940794742345,434.271337426092,384.155002414768,376.199690814091,435.011012267265,473.461820028796,466.991207461795,436.215329287378,445.042091250515,484.396474709265,457.477739390763,486.598528177479,542.527153336094,639.78300644324,737.582435734023,905.395218200483,1011.96747423974,1177.02225071173,1070.76451486426,1545.42577289518,1730.24902073032,1859.12357555981,1975.03337422039,2096.19387503553,1917.19969258641,1754.20461312359,..
IDA only,IDX,137.994920402478,150.912887071905,152.864643840712,158.677785798304,153.396180028027,180.914635509323,228.627924945754,274.771348755015,246.590358071779,271.89508022047,308.837660812819,333.753255963568,352.919739569674,351.068443909023,340.138485458065,317.815901314163,309.661898003539,321.630373590748,336.433193289372,349.078975592151,342.359340812281,329.00452771513,336.393201718113,332.470356532879,304.40683583668,299.324885858177,269.268984715933,299.38073810499,319.166677077017,326.979777100577,327.380934270524,323.557624044537,346.241672122698,330.987458995249,342.719636482586,376.739851546027,415.779073746415,462.638064468625,523.479108176726,607.3156304162,719.590254761808,726.484006557226,803.21487643577,881.087845799124,909.390655841145,966.84267080622,1020.65924606677,1010.67791987618,1023.47332008504,..
IDA total,IDA,136.044104005563,149.665342268878,169.516223155209,165.920161802423,168.454034301751,188.326847397552,249.180682146614,290.676240171308,294.758178222356,313.200422802751,343.731610389093,388.859236596714,446.129533674688,445.129053240475,419.280835118634,366.110026424072,346.337295298735,349.57367527971,350.840937798045,368.969615504331,370.694599715233,361.176898878868,370.885468866058,368.65492658479,348.282157029,327.307884462321,305.064344848991,344.937181422243,371.064567181559,373.771977680949,363.228078985064,363.794554908729,392.073535422243,372.831226550046,390.315914133285,431.532380818744,489.935144224735,553.670540126421,650.12802659118,741.304021576162,870.61482847154,838.416086427256,1052.0039769994,1166.39739973796,1229.46938403116,1306.86687861415,1383.76192544026,1315.99251129614,1268.10168071172,..
